Type,Date,Notes,Short URL,Summary
photo,2016-02-02 01:46:00 GMT,1200,https://tmblr.co/Z9EhZn2106gfx,Archibald J. Motley Jr. | Brown Girl After the Bath | 1931
photo,2016-10-05 03:14:01 GMT,1130,https://tmblr.co/Z9EhZn2C_3EWi,Vincent Van Gogh | Wheatfield with Crows | 1890
photo,2014-12-31 19:59:57 GMT,1125,https://tmblr.co/Z9EhZn1ZPt88Y,Gabriel Metsu | A Baker Blowing His Horn | c.1660
photo,2015-10-05 00:01:36 GMT,1091,https://tmblr.co/Z9EhZn1vZA3y8,Sebastiano Ricci | Neptune and Amphitrite | c.1691-94
photo,2015-07-22 00:01:19 GMT,1035,https://tmblr.co/Z9EhZn1q8s_GX,Paul Cézanne | The Bather | 1885
photo,2015-10-08 02:01:01 GMT,984,https://tmblr.co/Z9EhZn1vlcqUX,"Mattia Preti | Queen Tomyris Receiving the Head of Cyrus, King of Persia | 1672"
photo,2015-02-19 04:29:14 GMT,978,https://tmblr.co/Z9EhZn1doL2Zv,William-Adolphe Bouguereau | Pieta | 1876
photo,2015-11-04 03:01:12 GMT,897,https://tmblr.co/Z9EhZn1xQONdk,William Daniels | Joseph Mayer | 1843
photo,2017-11-07 00:00:32 GMT,617,https://tmblr.co/Z9EhZn2RkgGMK,Salvador Dali | The Disintegration of the Persistence of Memory | 1954
photo,2016-10-07 02:00:54 GMT,549,https://tmblr.co/Z9EhZn2D3DM-R,Domenichino | Virgin and Unicorn (A Virgin With a Unicorn) | c. 1602
photo,2017-10-27 01:00:35 GMT,248,https://tmblr.co/Z9EhZn2RNyY7B,Wayne Thiebaud | Boston Cremes | 1962
